speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,ethanol_fuel_level,coolant_temp,intake_manifold_pressure,afr,battery_voltage,fuel_level,mmcloud_time,cloud_index,latitude,longitude
0,983,14,14,3.0,166.809998,0.03,0.02,-0.02,,88.0,54.0,100.0,1465.0,61.0,516,1.0,-5.843028,-35.197472
0,982,14,14,3.0,166.73999,-0.01,0.01,0.0,,88.0,54.0,100.0,1459.0,61.0,504,1.0,-5.843019,-35.197517
0,977,18,16,-20.0,222.160004,-0.02,0.01,-0.05,,88.0,77.0,100.0,1481.0,61.0,2242,0.0,-5.843021,-35.197536
1,926,18,23,-16.0,327.119995,0.0,0.0,-0.14,,88.0,87.0,100.0,1473.0,61.0,577,0.0,-5.843062,-35.197556
6,938,18,27,-24.0,451.77002,-0.01,-0.01,-0.12,,88.0,83.0,100.0,1475.0,61.0,2001,0.0,-5.843095,-35.197559
8,1355,17,23,-6.0,473.525024,0.01,-0.01,-0.18,,88.0,54.0,100.0,1474.0,61.0,657,1.0,-5.843149,-35.197563
11,1386,14,11,18.0,306.459991,0.02,-0.05,-0.05,,88.0,41.0,100.0,1462.0,61.0,705,1.0,-5.843187,-35.197567
14,1117,14,13,-7.0,339.795013,-0.01,-0.03,-0.02,,88.0,49.0,100.0,1464.0,61.0,662,1.0,-5.84325,-35.197578
16,946,15,14,-9.0,366.899994,-0.05,-0.07,-0.13,,88.0,56.0,100.0,1471.0,61.0,653,1.0,-5.843294,-35.197598
18,936,15,14,-14.0,389.759979,-0.02,-0.09,0.12,,88.0,57.0,100.0,1476.0,61.0,636,1.0,-5.843364,-35.197624
19,993,12,11,-15.0,328.950012,0.01,-0.01,-0.01,,88.0,35.0,100.0,1469.0,61.0,642,1.0,-5.843411,-35.197639
20,926,11,7,-6.0,273.51001,0.06,-0.06,-0.02,,88.0,32.0,100.0,1462.0,61.0,655,1.0,-5.843486,-35.197651
19,914,12,6,-6.0,264.25,0.04,0.05,-0.04,,88.0,31.0,100.0,1476.0,61.0,639,1.0,-5.843526,-35.197659
16,879,12,7,3.0,239.085007,0.05,0.04,0.03,,88.0,36.0,100.0,1464.0,61.0,645,1.0,-5.843572,-35.197662
13,852,13,11,-7.0,258.240021,0.02,0.04,0.1,,88.0,48.0,100.0,1473.0,61.0,658,1.0,-5.84359,-35.197662
11,848,14,13,-7.0,269.76001,-0.03,0.02,-0.08,,88.0,52.0,100.0,1467.0,61.0,800,1.0,-5.843614,-35.197666
11,847,15,14,-6.0,293.375,-0.01,-0.06,-0.13,,88.0,53.0,100.0,1458.0,61.0,652,1.0,-5.843629,-35.197674
12,863,14,13,-6.0,282.875,-0.06,-0.2,-0.06,,88.0,51.0,100.0,1474.0,61.0,634,1.0,-5.84365,-35.197689
13,1180,20,24,-9.0,588.299988,-0.03,-0.2,-0.07,,88.0,77.0,100.0,1474.0,61.0,659,1.0,-5.843666,-35.197704
14,1284,18,22,11.0,555.119995,0.01,-0.25,-0.07,,88.0,68.0,100.0,1474.0,61.0,631,1.0,-5.843673,-35.197742
16,1403,19,22,12.0,627.570007,0.03,-0.08,-0.06,,88.0,77.0,100.0,1475.0,61.0,645,1.0,-5.843666,-35.197784
18,1552,19,23,15.0,707.659973,-0.02,-0.11,-0.31,,88.0,73.0,100.0,1473.0,61.0,507,1.0,-5.843665,-35.19783
19,1662,19,21,17.0,712.400024,0.01,0.06,0.08,,87.0,64.0,100.0,1471.0,61.0,642,1.0,-5.843659,-35.19788
21,1732,18,18,18.0,688.73999,-0.06,-0.06,-0.07,,87.0,58.0,100.0,1459.0,61.0,656,1.0,-5.843658,-35.197945
21,1782,18,17,16.0,680.579956,0.0,-0.06,-0.02,,87.0,50.0,100.0,1470.0,61.0,636,1.0,-5.843662,-35.19799
22,1555,14,9,-1.0,458.024994,0.07,0.0,0.09,,87.0,29.0,100.0,1469.0,61.0,656,1.0,-5.843662,-35.198063
21,1589,14,9,21.0,448.350006,0.03,-0.02,-0.05,,87.0,34.0,100.0,1469.0,61.0,659,1.0,-5.843657,-35.198116
20,1568,14,9,17.0,430.359985,,,,,87.0,34.0,100.0,,61.0,640,1.0,-5.843649,-35.198193
20,1522,14,9,24.0,423.690002,0.02,-0.05,0.01,,87.0,36.0,100.0,1476.0,61.0,645,1.0,-5.843644,-35.198238
19,1509,14,9,26.0,407.26001,0.01,-0.05,-0.15,,87.0,34.0,100.0,1470.0,61.0,657,1.0,-5.843637,-35.198311
19,1485,14,9,26.0,403.900024,0.04,0.03,-0.16,,87.0,35.0,100.0,1467.0,61.0,641,1.0,-5.843634,-35.198357
18,1317,14,7,3.0,339.625,-0.03,-0.12,-0.22,,87.0,34.0,100.0,1467.0,61.0,646,1.0,-5.843627,-35.198406
17,1213,13,8,0.0,314.124969,-0.02,-0.08,-0.12,,87.0,34.0,100.0,1459.0,61.0,1122,1.0,-5.843624,-35.198433
15,999,13,9,-2.0,275.880005,0.01,0.03,0.06,,87.0,38.0,100.0,1467.0,61.0,663,1.0,-5.843627,-35.198452
12,898,13,9,0.0,230.790009,0.02,0.04,0.0,,87.0,42.0,100.0,1460.0,61.0,636,1.0,-5.84363,-35.198456
10,854,14,13,-1.0,259.209991,-0.01,0.06,-0.06,,87.0,54.0,100.0,1459.0,61.0,653,1.0,-5.843634,-35.198456
10,837,15,16,-9.0,303.809998,0.0,0.02,-0.05,,87.0,59.0,100.0,1462.0,61.0,651,1.0,-5.843632,-35.19846
10,849,14,15,-9.0,281.125,0.01,0.1,-0.11,,87.0,55.0,100.0,1453.0,61.0,648,1.0,-5.843633,-35.19846
9,842,14,14,-2.0,257.829987,-0.02,0.12,0.03,,87.0,59.0,100.0,1449.0,61.0,648,1.0,-5.843635,-35.198463
8,831,16,18,-10.0,316.029999,-0.02,0.03,-0.09,,87.0,67.0,100.0,1467.0,61.0,804,1.0,-5.84364,-35.198471
8,870,16,18,-12.0,321.100006,-0.03,-0.01,0.02,,87.0,68.0,100.0,1446.0,61.0,657,1.0,-5.843647,-35.198479
9,850,18,23,-15.0,424.0,0.03,-0.05,-0.06,,87.0,83.0,100.0,1461.0,61.0,652,1.0,-5.84366,-35.19849
8,877,23,27,-18.0,555.975037,0.04,-0.09,-0.1,,87.0,94.0,100.0,1460.0,61.0,656,1.0,-5.84367,-35.198502
9,900,17,24,-12.0,429.0,-0.01,-0.18,-0.1,,87.0,85.0,100.0,1470.0,61.0,652,1.0,-5.843687,-35.198513
11,1282,25,36,-7.0,888.77002,0.03,-0.15,-0.12,,87.0,92.0,100.0,1474.0,61.0,492,1.0,-5.8437,-35.198513
14,1426,23,31,9.0,838.350037,0.0,-0.02,-0.14,,87.0,88.0,100.0,1474.0,61.0,501,1.0,-5.84372,-35.198521
17,1580,24,31,12.0,955.200012,0.01,-0.01,-0.14,,88.0,89.0,100.0,1475.0,61.0,501,1.0,-5.843731,-35.198521
20,1780,25,31,13.0,1091.400024,0.01,-0.01,-0.14,,88.0,90.0,100.0,1471.0,61.0,496,1.0,-5.843744,-35.198524
22,1932,25,30,14.0,1152.320068,0.0,0.01,-0.24,,88.0,88.0,100.0,1467.0,61.0,519,1.0,-5.843745,-35.198524
24,2084,25,28,15.0,1191.839966,0.01,-0.01,-0.16,,88.0,85.0,100.0,1460.0,61.0,499,1.0,-5.843751,-35.198528
26,2252,25,27,17.0,1259.280029,0.02,-0.01,-0.12,,88.0,81.0,100.0,1473.0,61.0,503,1.0,-5.843756,-35.198528
28,2405,25,28,17.0,1373.399902,0.01,0.0,-0.13,,88.0,83.0,100.0,1475.0,61.0,504,1.0,-5.843765,-35.198547
30,1676,24,30,13.0,1222.800049,0.0,-0.03,-0.1,,88.0,86.0,100.0,1484.0,61.0,506,1.0,-5.843775,-35.198566
30,1485,15,15,3.0,671.625,0.0,-0.04,-0.05,,88.0,34.0,100.0,1478.0,61.0,648,1.0,-5.843771,-35.198631
29,1438,13,8,-7.0,506.529999,-0.01,-0.02,0.0,,88.0,29.0,100.0,1470.0,61.0,641,1.0,-5.843764,-35.198696
28,1389,12,7,-6.0,453.074982,-0.01,-0.05,-0.03,,88.0,28.0,100.0,1465.0,61.0,640,1.0,-5.843745,-35.198814
27,1336,12,6,-3.0,418.439972,0.01,-0.01,0.04,,88.0,27.0,100.0,1465.0,61.0,640,1.0,-5.843737,-35.198914
24,1200,12,6,29.0,360.0,0.0,-0.02,0.06,,88.0,31.0,100.0,1470.0,61.0,647,1.0,-5.843722,-35.199074
19,1014,12,8,-8.0,298.890015,-0.01,-0.02,0.01,,88.0,31.0,100.0,1467.0,61.0,645,1.0,-5.843714,-35.199177
17,939,12,8,2.0,267.375,0.06,-0.02,-0.03,,88.0,35.0,100.0,1474.0,61.0,658,1.0,-5.843706,-35.199322
16,1467,20,28,-3.0,762.73999,0.01,-0.02,-0.09,,88.0,76.0,100.0,1474.0,61.0,797,1.0,-5.843694,-35.199394
20,1756,27,34,6.0,1203.119995,0.04,0.04,-0.21,,88.0,107.0,100.0,1475.0,61.0,506,1.0,-5.843682,-35.199478
25,2280,88,61,4.0,4764.399902,0.02,-0.02,-0.29,,88.0,144.0,100.0,1474.0,61.0,629,2.0,-5.843679,-35.199512
30,2359,88,55,-11.0,4742.575195,0.02,0.04,-0.2,,88.0,175.0,100.0,1475.0,61.0,640,2.0,-5.843673,-35.199574
37,2191,88,71,-3.0,5935.140137,0.02,0.04,-0.27,,88.0,185.0,100.0,1470.0,61.0,502,2.0,-5.843665,-35.199623
43,2228,88,77,-12.0,6616.799805,-0.01,-0.01,-0.28,,88.0,191.0,100.0,1475.0,61.0,496,2.0,-5.84365,-35.199726
47,1818,88,89,-8.0,7220.240234,0.0,-0.01,-0.22,,88.0,196.0,100.0,1474.0,61.0,549,2.0,-5.843643,-35.199802
51,1889,88,92,-9.0,7642.635254,0.0,0.04,-0.16,,89.0,202.0,100.0,1475.0,61.0,495,2.0,-5.843626,-35.199947
56,1987,88,89,-7.0,7820.575195,-0.01,-0.01,-0.4,,90.0,194.0,100.0,1471.0,61.0,503,2.0,-5.843616,-35.200054
59,2103,87,64,-1.0,6643.844727,0.02,-0.06,-0.14,,90.0,157.0,100.0,1473.0,61.0,501,2.0,-5.843593,-35.200233
61,2190,87,72,-1.0,7241.850098,0.02,0.01,-0.17,,91.0,161.0,100.0,1465.0,61.0,503,2.0,-5.843585,-35.200356
64,2277,87,63,2.0,6970.39502,0.01,0.01,-0.16,,91.0,144.0,100.0,1475.0,61.0,500,2.0,-5.843561,-35.200546
65,2332,37,42,7.0,3227.119873,0.01,0.0,-0.15,,92.0,104.0,100.0,1474.0,61.0,665,2.0,-5.843547,-35.200672
66,2367,40,41,7.0,3406.345215,0.02,-0.02,-0.16,,92.0,103.0,100.0,1474.0,61.0,640,2.0,-5.843532,-35.200855
65,2334,18,28,-5.0,1922.310059,0.0,0.01,-0.04,,92.0,42.0,150.0,1476.0,61.0,639,1.0,-5.843522,-35.200985
64,1763,14,7,-4.0,1122.864868,0.03,0.0,-0.02,,92.0,29.0,103.0,1467.0,61.0,645,1.0,-5.843524,-35.201427
61,1629,13,7,-6.0,995.860046,0.0,-0.03,-0.05,,92.0,29.0,199.0,1470.0,61.0,646,1.0,-5.843516,-35.20155
58,1560,13,7,-9.0,929.5,0.0,-0.09,-0.03,,92.0,28.0,199.0,1461.0,61.0,673,1.0,-5.843495,-35.201725
54,1933,13,6,-5.0,969.899963,0.0,-0.1,-0.03,,92.0,27.0,199.0,1484.0,61.0,663,1.0,-5.843475,-35.201832
52,1855,13,6,-4.0,914.950012,-0.01,-0.13,-0.04,,91.0,27.0,199.0,1471.0,61.0,661,1.0,-5.843437,-35.201988
50,1787,13,6,-3.0,864.359985,-0.02,-0.12,-0.04,,90.0,27.0,199.0,1476.0,61.0,636,1.0,-5.843407,-35.202091
48,1718,13,6,-4.0,814.859985,-0.02,-0.12,-0.03,,90.0,27.0,199.0,1475.0,61.0,643,1.0,-5.843354,-35.202232
46,1663,13,6,-6.0,770.380005,-0.01,-0.08,-0.05,,90.0,27.0,199.0,1470.0,61.0,656,1.0,-5.843313,-35.202316
45,1624,13,6,-6.0,745.619995,0.0,-0.08,-0.03,,89.0,27.0,199.0,1475.0,61.0,656,1.0,-5.843242,-35.202431
44,1588,13,6,-7.0,722.0,-0.02,-0.06,-0.04,,88.0,27.0,199.0,1469.0,61.0,1011,1.0,-5.843189,-35.202499
44,1573,13,6,-8.0,718.25,-0.01,-0.06,-0.01,,88.0,27.0,199.0,1465.0,61.0,653,1.0,-5.843103,-35.202599
43,1555,13,6,-9.0,699.475037,0.0,-0.07,-0.03,,87.0,27.0,199.0,1473.0,61.0,1152,1.0,-5.843043,-35.202667
42,1517,12,6,-9.0,652.080017,-0.01,-0.08,0.07,,87.0,27.0,199.0,1467.0,61.0,640,1.0,-5.842949,-35.202759
39,1401,12,6,-6.0,585.225037,-0.01,-0.09,0.05,,87.0,26.0,199.0,1475.0,61.0,660,1.0,-5.842884,-35.202816
35,1271,12,5,7.0,494.199982,0.01,-0.03,0.15,,87.0,27.0,115.0,1471.0,61.0,655,1.0,-5.842795,-35.202881
