speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,ethanol_fuel_level,coolant_temp,intake_manifold_pressure,afr,battery_voltage,fuel_level,mmcloud_time,cloud_index,latitude,longitude
0,977,15,15,3,185.775009,-0.01,0.0,0.01,,88,56,100,1459,59.0,878,1,-5.843013,-35.197319
0,979,15,15,4,185.925003,-0.03,0.0,-0.01,,88,56,100,1473,59.0,485,1,-5.843037,-35.197304
0,980,15,15,2,186.0,0.02,0.01,-0.01,,88,57,100,1467,59.0,473,1,-5.843068,-35.197285
0,981,15,15,1,186.074997,0.04,0.01,0.0,,88,57,100,1479,59.0,501,1,-5.84307,-35.197281
0,982,15,15,3,186.149994,0.02,0.0,-0.02,,88,57,100,1470,59.0,492,1,-5.843069,-35.197281
0,972,18,23,-19,318.779999,-0.01,0.0,0.0,,88,81,100,1459,59.0,1920,0,-5.843066,-35.197277
0,922,17,21,-3,275.309998,0.0,0.0,0.0,,88,81,100,1475,59.0,568,0,-5.843064,-35.197277
0,984,16,18,-8,232.559998,-0.03,-0.01,0.0,,88,63,100,1469,59.0,2785,0,-5.84306,-35.197281
0,1006,16,21,-5,273.630005,0.0,0.0,0.02,,88,74,100,1460,59.0,670,0,-5.843058,-35.197281
0,1003,19,27,-17,391.904999,0.0,-0.01,0.0,,88,86,100,1474,59.0,627,0,-5.84306,-35.197281
9,1420,18,21,15,483.0,0.0,-0.02,0.05,,90,65,100,1475,59.0,691,1,-5.843047,-35.197308
10,1566,17,17,16,440.909973,0.0,0.02,0.0,,90,56,100,1489,59.0,1859,0,-5.843051,-35.197334
11,1659,17,16,16,453.464996,0.0,0.0,0.06,,90,51,100,1480,59.0,511,0,-5.84305,-35.197361
11,1674,16,14,12,409.25,0.0,-0.01,0.04,,90,44,100,1492,59.0,1875,0,-5.843049,-35.197392
11,1672,16,14,13,409.0,0.02,0.01,0.05,,90,43,100,1482,59.0,670,0,-5.84305,-35.197414
11,1528,15,12,21,348.219971,-0.01,0.01,-0.03,,89,39,100,1476,59.0,662,0,-5.843052,-35.197449
11,1311,14,11,15,298.209991,0.01,0.08,0.21,,89,40,100,1483,59.0,662,0,-5.843063,-35.197472
11,1037,14,12,0,280.255005,-0.06,0.06,0.05,,88,49,100,1482,59.0,652,0,-5.843084,-35.197495
10,1014,14,14,1,289.680023,-0.05,0.08,0.03,,88,51,100,1485,59.0,658,0,-5.843101,-35.197514
9,1091,15,14,0,297.964996,-0.02,0.06,0.0,,88,52,100,1486,59.0,665,0,-5.843119,-35.197517
9,1287,16,16,5,360.874969,0.01,0.0,0.04,,88,50,100,1482,59.0,654,0,-5.843131,-35.197521
9,1425,16,17,8,393.25,-0.02,0.02,0.06,,88,53,100,1476,59.0,651,0,-5.843152,-35.197521
10,1553,16,15,16,394.125,-0.01,0.0,-0.01,,88,50,100,1483,59.0,651,0,-5.84317,-35.197517
11,1643,16,14,14,405.375,0.01,-0.02,0.0,,87,41,100,1473,59.0,642,0,-5.843201,-35.197517
13,1380,13,9,5,294.799988,-0.04,-0.13,0.04,,87,34,100,1476,59.0,655,0,-5.843227,-35.197514
16,1042,14,10,0,317.459991,0.01,-0.12,0.04,,87,46,100,1476,59.0,658,0,-5.84327,-35.197529
18,946,14,12,-3,351.900024,0.01,-0.08,-0.06,,87,49,100,1482,59.0,650,0,-5.843302,-35.197544
20,925,14,12,-4,372.0,-0.01,-0.06,0.15,,87,50,100,1474,59.0,665,0,-5.843352,-35.197571
20,918,14,12,-5,370.880005,0.04,0.08,0.05,,87,50,100,1474,59.0,655,0,-5.843386,-35.19759
20,913,14,12,-3,370.079987,0.07,0.17,0.25,,87,50,100,1470,59.0,673,0,-5.843442,-35.197601
18,914,14,12,-3,347.100006,0.0,0.04,0.03,,87,51,100,1478,59.0,1058,0,-5.843478,-35.197609
14,895,14,12,-6,298.350006,0.02,0.03,0.15,,87,53,100,1475,59.0,651,0,-5.843523,-35.197613
10,891,14,14,-6,274.920013,-0.03,0.02,0.08,,87,53,100,1482,59.0,662,0,-5.843537,-35.197617
9,883,13,14,-4,251.044998,0.0,0.0,0.01,,87,53,100,1467,59.0,656,0,-5.843564,-35.19762
8,897,16,20,-19,349.580017,0.0,0.01,0.06,,87,74,100,1479,59.0,677,0,-5.84358,-35.19762
7,878,14,13,-17,227.799988,-0.04,-0.03,0.02,,87,55,100,1472,59.0,660,0,-5.843603,-35.19762
8,888,14,12,-8,228.800003,0.02,-0.05,0.1,,87,53,100,1480,59.0,647,0,-5.84362,-35.197624
9,866,16,19,-15,345.23999,0.0,-0.1,0.02,,87,61,100,1484,59.0,661,0,-5.843646,-35.197632
10,1638,21,30,-1,747.599976,0.0,-0.19,0.14,,87,69,100,1480,59.0,656,1,-5.843669,-35.197659
12,1879,20,22,17,659.429993,-0.03,-0.17,-0.06,,87,67,100,1476,59.0,1123,1,-5.843678,-35.197685
14,2137,20,20,20,703.289978,0.01,-0.03,-0.06,,87,66,100,1484,59.0,657,1,-5.843681,-35.197716
16,1527,20,22,14,670.130005,-0.03,0.0,0.03,,87,83,100,1476,59.0,672,1,-5.843678,-35.197769
19,1675,21,25,15,830.5,0.02,0.02,0.05,,87,78,100,1476,59.0,660,2,-5.843675,-35.197807
21,1794,19,21,18,775.73999,-0.07,-0.01,-0.03,,87,65,100,1484,59.0,661,2,-5.843672,-35.197876
22,1801,14,15,1,592.184998,-0.01,-0.11,0.0,,87,35,100,1474,59.0,670,1,-5.843671,-35.197922
