speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,ethanol_fuel_level,coolant_temp,intake_manifold_pressure,afr,battery_voltage,fuel_level,mmcloud_time,cloud_index,latitude,longitude
0,1051,17,52,-15,715.26001,-0.02,-0.04,-0.02,,48,45,100,1291,21,490,1,-5.843028,-35.197472
0,1026,16,56,-6,735.280029,0.04,-0.05,0.02,,48,46,100,1302,22,447,1,-5.843019,-35.197517
2,976,20,68,-5,1041.599976,0.01,-0.05,0.0,,48,55,100,1297,26,1811,0,-5.843021,-35.197536
3,1007,20,69,-7,1082.52002,0.06,-0.08,0.04,,49,56,100,1294,22,461,0,-5.843062,-35.197556
6,1030,17,68,-11,1010.100037,0.0,-0.1,-0.01,,49,50,100,1295,21,1814,0,-5.843095,-35.197559
8,965,16,48,-11,718.200012,-0.02,-0.11,-0.04,,49,43,100,1290,22,556,0,-5.843149,-35.197563
9,1009,16,46,-15,717.474976,0.0,-0.15,-0.03,,49,43,100,1301,34,552,0,-5.843187,-35.197567
11,1078,16,44,-24,736.449951,-0.04,-0.04,-0.01,,49,40,100,1297,30,595,0,-5.84325,-35.197578
14,1634,18,27,12,703.970032,-0.04,-0.11,0.01,,50,52,100,1291,29,572,0,-5.843294,-35.197598
16,1536,20,37,13,937.039978,0.0,-0.07,0.01,,50,54,100,1275,23,560,0,-5.843364,-35.197624
19,1423,16,28,-10,710.404968,-0.07,-0.25,0.07,,50,49,100,1284,26,566,0,-5.843411,-35.197639
20,1530,18,33,25,882.450012,-0.05,-0.24,-0.04,,50,46,100,1286,36,565,0,-5.843486,-35.197651
20,1172,17,46,-10,947.76001,-0.01,-0.07,-0.01,,51,45,100,1290,34,562,0,-5.843526,-35.197659
16,1137,16,44,-21,821.099976,-0.1,-0.13,-0.1,,51,41,100,1293,31,565,0,-5.843572,-35.197662
13,1043,16,42,-17,726.825012,0.02,-0.16,-0.1,,51,41,100,1295,22,602,0,-5.84359,-35.197662
11,1032,16,44,-15,723.799988,-0.08,-0.19,-0.02,,51,42,100,1290,29,573,0,-5.843614,-35.197666
9,999,16,45,-16,701.730042,0.0,-0.08,0.05,,51,42,100,1294,33,565,0,-5.843629,-35.197674
10,996,15,44,-17,673.919983,-0.01,-0.03,-0.07,,52,42,100,1303,26,564,0,-5.84365,-35.197689
